Song Name,Artist Name,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Loudness,Liveness,Speechiness,Time_signature,Key,Valence,Tempo,Mode,Target,URL,Image
Cold (feat. Future),Maroon 5,0.14,0.693,234308,0.717,0.0,-6.346,0.0464,0.107,4,9,0.412,99.836,0,1,https://open.spotify.com/track/2NlTOhsAamXOaZciOXbITb,https://i.scdn.co/image/ab67616d0000b273deae7d931928fc1543e70203
Aarambh,Piyush Mishra,0.555,0.693,295867,0.778,0.0,-8.087,0.094,0.248,4,1,0.282,125.025,0,1,https://open.spotify.com/track/1PZZtXR7nsNIyRcqd7UeiF,https://i.scdn.co/image/ab67616d0000b273c45169492ebc6af70588df7d
Shoorveer III,Rapperiya Baalam,0.229,0.768,213000,0.727,0.0,-7.31,0.127,0.142,4,7,0.591,95.019,1,1,https://open.spotify.com/track/4BLqBzCkmC4rA9pYzjr0Hq,https://i.scdn.co/image/ab67616d0000b2734cb746742f164d1a0cc91c5f
Wake Up To Reality,Kakashi Deku,0.224,0.481,95898,0.734,0.0,-8.918,0.628,0.512,1,4,0.249,80.041,0,1,https://open.spotify.com/track/3nAD4Yuzyddfg64kPNnYwq,https://i.scdn.co/image/ab67616d0000b273ee86dfc8a82790258efc4b1d
Industry E.T.,Felax,0.0308,0.636,254816,0.632,0.0,-6.506,0.225,0.0569,4,11,0.702,150.013,0,1,https://open.spotify.com/track/0nQnKhRw2QQGzZWld3Urav,https://i.scdn.co/image/ab67616d0000b273274f7103f34f24a330937218
Dead To Me - Slow + Reverb,Whales,0.261,0.682,267228,0.543,0.0,-8.66,0.108,0.0688,4,1,0.112,127.526,1,1,https://open.spotify.com/track/7xnElMPFCmSlMJ0AY2hnxc,https://i.scdn.co/image/ab67616d0000b273d3a5be459bdbca39f2376d98
Aarmabh Hai Prachand X Polozehnie,Shrylox,0.536,0.645,201562,0.53,0.0006,-9.573,0.0946,0.0803,4,1,0.315,106.216,0,1,https://open.spotify.com/track/41UQTit03jSLz0DoUZ3Eux,https://i.scdn.co/image/ab67616d0000b273071be3e56c97700013dcbab6
Heartless,Kanye West,0.0515,0.79,211000,0.647,0.0,-5.983,0.248,0.136,4,10,0.654,87.999,0,1,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5,https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18
Set Fire to the Hills - Remake Cover,Cover Tazzy,0.0272,0.737,240718,0.372,4.93e-06,-9.786,0.107,0.0297,4,0,0.128,113.075,0,1,https://open.spotify.com/track/5s07kz2Kx4xry0dTxjubH1,https://i.scdn.co/image/ab67616d0000b27387a4ff854e4e85c59c36cdc7
Vegeta x Awaken Rare Hardstyle,AniLifts,0.00261,0.223,201493,0.942,0.0,-4.879,0.739,0.354,4,8,0.272,183.401,1,1,https://open.spotify.com/track/4CcrinmQse1i2V99go1OdM,https://i.scdn.co/image/ab67616d0000b273d88be1bf7dca025bf4a2b721
FEEL NOTHING,The Plot In You,0.00353,0.448,216827,0.825,0.0,-5.307,0.108,0.0621,4,4,0.226,144.17,0,1,https://open.spotify.com/track/4xDwCYhobDehSBGUmd5H6Y,https://i.scdn.co/image/ab67616d0000b273197f778e9f68a8ab1d7da3f8
Gypsy,G.D. Kaur,0.51,0.648,150588,0.729,0.0,-3.836,0.349,0.374,4,11,0.526,203.709,0,1,https://open.spotify.com/track/0twaTHqMG7xYjX2zHyfjDy,https://i.scdn.co/image/ab67616d0000b273b51b13b408a9398f5108cf15
Unholy (feat. Kim Petras),Sam Smith,0.013,0.714,156943,0.472,4.51e-06,-7.375,0.266,0.0864,4,2,0.238,131.121,1,1,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4
